model,prompt_id,temperature,json_valid
llama3.1:8b,21,0,1
llama3.1:8b,22,0,1
llama3.1:8b,23,0,1
llama3.1:8b,24,0,1
llama3.1:8b,25,0,1
llama3.1:8b,26,0,1
llama3.1:8b,27,0,1
llama3.1:8b,28,0,1
llama3.1:8b,29,0,1
llama3.1:8b,30,0,1
llama3.1:8b,1,0.7,1
llama3.1:8b,2,0.7,1
llama3.1:8b,3,0.7,1
llama3.1:8b,4,0.7,1
llama3.1:8b,5,0.7,1
llama3.1:8b,6,0.7,1
llama3.1:8b,7,0.7,1
llama3.1:8b,8,0.7,1
llama3.1:8b,9,0.7,1
llama3.1:8b,10,0.7,1
llama3.1:8b,11,0.7,1
llama3.1:8b,12,0.7,1
llama3.1:8b,13,0.7,1
llama3.1:8b,14,0.7,1
llama3.1:8b,15,0.7,1
llama3.1:8b,16,0.7,1
llama3.1:8b,17,0.7,1
llama3.1:8b,18,0.7,1
llama3.1:8b,19,0.7,1
llama3.1:8b,20,0.7,1
llama3.1:8b,21,0.7,1
llama3.1:8b,22,0.7,1
llama3.1:8b,23,0.7,1
llama3.1:8b,24,0.7,1
llama3.1:8b,25,0.7,1
llama3.1:8b,26,0.7,1
llama3.1:8b,27,0.7,1
llama3.1:8b,28,0.7,1
llama3.1:8b,29,0.7,1
llama3.1:8b,30,0.7,1
